lamT,lamD0.0001omega0,lamD0.0001omega60,lamD10omega0,lamD10omega60
0.86,0.932911625819413,0.894753889214415,0.666066536959345,0.599087173368004
0.87,0.934986487427446,0.897473446368407,0.670298363022652,0.603325527521632
0.88,0.93699717918869,0.90012273022623,0.674476560582643,0.607519074812675
0.89,0.938945685702609,0.902703556648289,0.678601809255238,0.611668288928526
0.9,0.940833930190386,0.905217694573197,0.682674780043816,0.615773638548871
0.91,0.942663776393183,0.907666867230231,0.686696135448356,0.619835587398625
0.92,0.944437030411698,0.910052753320465,0.690666529573197,0.623854594300316
0.93,0.946155442488829,0.912376988167371,0.694586608233436,0.62783111322591
0.94,0.947820708737206,0.914641164837701,0.698457009059972,0.631765593348088
0.95,0.949434472813291,0.916846835233398,0.702278361603225,0.635658479090989
0.96,0.950998327539703,0.918995511155293,0.706051287435532,0.639510210180404
0.97,0.952513816477378,0.921088665339317,0.709776400252256,0.64332122169345
0.98,0.953982435449092,0.923127732465937,0.713454305971605,0.647091944107712
0.99,0.955405634015878,0.92511411014351,0.71708560283319,0.65082280334987
1,0.956784816907775,0.927049159866223,0.720670881495334,0.65451422084381
1.01,0.958121345410326,0.928934207947284,0.724210725131144,0.658166613558224
1.02,0.959416538708203,0.930770546427998,0.727705709523374,0.661780394053713
1.03,0.960671675187271,0.93255943396335,0.731156403158077,0.665355970529386
1.04,0.961887993696384,0.934302096684711,0.734563367317073,0.668893746868967
1.05,0.963066694770159,0.935999729040241,0.737927156169247,0.672394122686422
1.06,0.96420894181393,0.93765349461359,0.74124831686069,0.67585749337109
1.07,0.965315862252056,0.939264526921429,0.744527389603693,0.679284250132353
1.08,0.966388548640717,0.940833930190386,0.747764907764623,0.682674780043817
1.09,0.967428059746291,0.942362780113896,0.75096139795067,0.686029466087041
1.1,0.968435421590381,0.943852124589502,0.754117380095513,0.689348687194796
1.11,0.969411628462522,0.945302984437094,0.757233367543885,0.692632818293865
1.12,0.970357643901568,0.946716354098602,0.760309867135074,0.695882230347396
1.13,0.971274401646729,0.948093202319599,0.763347379285367,0.699097290396802
1.14,0.972162806559188,0.949434472813291,0.766346398069442,0.702278361603225
