lamT,lamD0omega0,lamD0omega60,lamD1omega0,lamD1omega60
0.91,0.942672876903177,0.92498273354713,0.931476390350055,0.912958178228535
0.92,0.944445946372506,0.927087771993871,0.933465443254223,0.91526230795153
0.93,0.946164176610887,0.929133741547918,0.935396759394729,0.917505443847967
0.94,0.947829263739822,0.931122299724882,0.937272014711852,0.919689200517425
0.95,0.949442851421504,0.933055057529291,0.939092836497911,0.921815149818568
0.96,0.951006532481331,0.934933580759729,0.940860804809378,0.923884822000568
0.97,0.952521850480233,0.936759391277346,0.942577453838011,0.925899706804565
0.98,0.953990301238376,0.938533968238773,0.94424427324218,0.927861254535982
0.99,0.955413334311734,0.940258749294442,0.945862709439545,0.929770877108446
1,0.956792354422991,0.94193513175328,0.947434166862222,0.931629949060079
1.01,0.958128722848192,0.943564473714721,0.948960009175504,0.933439808542879
1.02,0.959423758760499,0.945148095168953,0.950441560461211,0.935201758285927
1.03,0.960678740532397,0.946687279066288,0.951880106366691,0.936917066533073
1.04,0.961894906997611,0.94818327235653,0.953276895220467,0.938586967955822
1.05,0.963073458674003,0.949637286999177,0.954633139115502,0.940212664542042
1.06,0.96421555894864,0.951050500945269,0.955950014961013,0.941795326461149
1.07,0.965322335226214,0.952424059091695,0.957228665503767,0.943336092906389
1.08,0.966394880041941,0.953759074208711,0.958470200319715,0.94483607291483
1.09,0.967434252140033,0.955056627841443,0.959675696776857,0.946296346165633
1.1,0.968441477518827,0.956317771186081,0.960846200970145,0.94771796375721
1.11,0.969417550443575,0.957543525941493,0.96198272862926,0.949101948963792
1.12,0.970363434427919,0.958734885136944,0.963086266000026,0.950449297971985
1.13,0.971280063185005,0.959892813936582,0.964157770700251,0.951760980597812
1.14,0.972168341549188,0.961018250421356,0.965198172550718,0.953037940984792
1.15,0.973029146369213,0.962112106348989,0.966208374382057,0.954281098283523
1.16,0.973863327373791,0.963175267892625,0.967189252818194,0.955491347313285
1.17,0.974671708010389,0.964208596358755,0.968141659037062,0.956669559206128
1.18,0.975455086258085,0.965212928884987,0.969066419509227,0.957816582033911
1.19,0.976214235415275,0.966189079118248,0.969964336715074,0.958933241418733
1.2,0.976949904863026,0.967137837873948,0.970836189841182,0.960020341127223
1.21,0.977662820804813,0.968059973776645,0.971682735456472,0.961078663649077
1.22,0.978353686983376,0.968956233882741,0.97250470816874,0.962108970760299
1.23,0.979023185375411,0.969827344285697,0.973302821262129,0.963112004071519
1.24,0.979671976864769,0.970674010704271,0.974077767316094,0.964088485561804
1.25,0.980300701894839,0.971496919054244,0.974830218806403,0.965039118098335
1.26,0.980909981100748,0.972296736004107,0.975560828688692,0.965964585942324
1.27,0.981500415922011,0.973074109515154,0.976270230965083,0.966865555241549
1.28,0.982072589196231,0.973829669366417,0.97695904123435,0.96774267450984
1.29,0.982627065734441,0.974564027664879,0.977627857226119,0.968596575093876
1.3,0.983164392878643,0.975277779341359,0.97827725931956,0.969427871627628
1.31,0.983685101042108,0.975971502632489,0.978907811047025,0.970237162474767
1.32,0.984189704232967,0.976645759549166,0.979520059583063,0.971025030159368
1.33,0.984678700561603,0.977301096331856,0.980114536219241,0.971792041785205
1.34,0.985152572732351,0.977938043893126,0.980691756825188,0.972538749443948
1.35,0.985611788519997,0.978557118247754,0.981252222296249,0.973265690612562
1.36,0.986056801231525,0.979158820930773,0.981796418988146,0.973973388540175
1.37,0.9864880501536,0.97974363940378,0.982324819139026,0.974662352624714
1.38,0.986905960986196,0.980312047449851,0.982837881279255,0.975333078779567
1.39,0.987310946262823,0.980864505557368,0.983336050629316,0.975986049790537
1.4,0.987703405757748,0.981401461293078,0.983819759486161,0.976621735663351
1.41,0.988083726880628,0.981923349664682,0.984289427598343,0.977240593961969
1.42,0.988452285058934,0.982430593473253,0.984745462530263,0.977843070137935
1.43,0.988809444108551,0.982923603655761,0.985188260015844,0.97842959785101
1.44,0.989155556592906,0.983402779617991,0.985618204301934,0.979000599281322
1.45,0.989490964170999,0.983868509558113,0.986035668481748,0.979556485433246
1.46,0.989815997934668,0.984321170781176,0.986441014818624,0.980097656431245
1.47,0.990130978735416,0.98476113000478,0.986834595060388,0.980624501807878
1.48,0.990436217501137,0.985188743656165,0.987216750744589,0.981137400784183
1.49,0.990732015543041,0.985604358160965,0.987587813494874,0.981636722542639
1.5,0.991018664853091,0.986008310223864,0.987948105308764,0.982122826492901
1.51,0.991296448392235,0.986400927101369,0.988297938837073,0.982596062530503
1.52,0.991565640369729,0.986782526866932,0.988637617655218,0.983056771288713
1.53,0.991826506513814,0.98715341866864,0.988967436526649,0.983505284383713
1.54,0.99207930433403,0.987513902979658,0.989287681658643,0.983941924653302
1.55,0.992324283375407,0.987864271841659,0.989598630950662,0.98436700638927
1.56,0.992561685464804,0.988204809101419,0.989900554235507,0.984780835563623
1.57,0.992791744949619,0.988535790640765,0.990193713513469,0.985183710048823
1.58,0.993014688929127,0.988857484600087,0.99047836317969,0.985575919832192
1.59,0.993230737478653,0.989170151595557,0.990754750244917,0.985957747224646
1.6,0.993440103866814,0.989474044930274,0.991023114549848,0.986329467063903
1.61,0.99364299476605,0.989769410799469,0.991283688973265,0.986691346912305
1.62,0.993839610456631,0.990056488489955,0.991536699634115,0.98704364724941
1.63,0.994030145024362,0.99033551057399,0.99178236608773,0.987386621659489
1.64,0.994214786552173,0.990606703097683,0.992020901516353,0.987720517014047
1.65,0.994393717305781,0.990870285764127,0.992252512914127,0.988045573649525
1.66,0.994567113913609,0.991126472111391,0.992477401266723,0.988362025540294
1.67,0.994735147541145,0.991375469685509,0.99269576172575,0.988670100467062
1.68,0.994897984059899,0.991617480208626,0.992907783778096,0.98897002018084
1.69,0.99505578421115,0.991852699742419,0.993113651410365,0.989262000562548
1.7,0.995208703764607,0.99208131884693,0.993313543268533,0.989546251778409
1.71,0.995356893672186,0.992303522734953,0.993507632812973,0.989822978431228
1.72,0.995500500217011,0.992519491422076,0.993696088468976,0.99009237970766
1.73,0.995639665157819,0.992729399872521,0.993879073772909,0.990354649521585
1.74,0.995774525868894,0.992933418140886,0.994056747514126,0.990609976653689
1.75,0.995905215475673,0.993131711509918,0.994229263872759,0.990858544887344
1.76,0.99603186298616,0.993324440624408,0.994396772553515,0.991100533140897
1.77,0.996154593418271,0.993511761621341,0.99455941891558,0.991336115596451
1.78,0.996273527923247,0.993693826256384,0.994717344098763,0.991565461825247
1.79,0.996388783905244,0.993870782026833,0.994870685145969,0.991788736909714
1.8,0.996500475137228,0.994042772291102,0.995019575122124,0.992006101562298
1.81,0.996608711873281,0.994209936384866,0.995164143229641,0.992217712241143
1.82,0.996713600957442,0.994372409733939,0.995304514920542,0.992423721262704
1.83,0.996815245929169,0.994530323963992,0.99544081200532,0.992624276911392
1.84,0.996913747125553,0.994683807007182,0.995573152758643,0.992819523546299
1.85,0.997009201780361,0.9948329832058,0.995701652021987,0.993009601705114
1.86,0.997101704120016,0.994977973413003,0.995826421303297,0.993194648205279
1.87,0.997191345456617,0.995118895090718,0.995947568873746,0.99337479624247
1.88,0.997278214278071,0.995255862404811,0.99606519986169,0.99355017548647
1.89,0.997362396335445,0.995388986317567,0.996179416343898,0.993720912174504
1.9,0.997443974727612,0.995518374677593,0.99629031743413,0.993887129202107
1.91,0.997523029983283,0.995644132307185,0.996397999369143,0.994048946211581
